Open,High,Low,Close,Adj Close,Volume
0.171086,0.17379,0.162565,0.165485,0.165485,979693368
0.165485,0.168647,0.160122,0.162356,0.162356,935006164
0.162346,0.168846,0.155176,0.155204,0.155204,469269658
0.155263,0.157156,0.141496,0.14264,0.14264,1163061854
0.142651,0.145027,0.122816,0.132892,0.132892,1693524581
0.13296,0.143072,0.132819,0.141863,0.141863,1006234946
0.141881,0.141951,0.12722,0.137798,0.137798,1446873574
0.137784,0.147236,0.133235,0.143049,0.143049,1347567750
0.143014,0.152603,0.142152,0.143789,0.143789,1253108115
0.143756,0.14501,0.136947,0.141247,0.141247,608707586
0.141244,0.142413,0.13838,0.141656,0.141656,506667466
0.141649,0.143984,0.14148,0.143056,0.143056,397610776
0.143057,0.143515,0.138754,0.139471,0.139471,363976741
0.139469,0.142264,0.136853,0.141805,0.141805,412307174
0.141805,0.144129,0.141125,0.142631,0.142631,409432267
0.142626,0.145253,0.136918,0.137235,0.137235,483194691
0.137213,0.138747,0.135565,0.137541,0.137541,383506507
0.137523,0.147592,0.13725,0.147503,0.147503,580740990
0.147533,0.15014,0.14541,0.147141,0.147141,587009429
0.14714,0.154775,0.145258,0.15377,0.15377,757004142
0.153803,0.171586,0.151741,0.165578,0.165578,1791358822
0.165606,0.169145,0.153709,0.158405,0.158405,1190116000
0.158357,0.160704,0.155035,0.159123,0.159123,778670798
0.159145,0.160437,0.151497,0.151889,0.151889,1053630584
0.151895,0.154069,0.143349,0.144847,0.144847,776730555
0.144856,0.147013,0.141678,0.144405,0.144405,602699408
0.144379,0.157354,0.144031,0.148948,0.148948,1581065491
0.148869,0.150132,0.143649,0.146003,0.146003,898042727
0.145996,0.152199,0.145203,0.151761,0.151761,674961496
0.151779,0.151824,0.146771,0.149095,0.149095,505588732
0.14905,0.149889,0.138071,0.138552,0.138552,721382126
0.138594,0.142097,0.13696,0.138768,0.138768,563817289
0.138764,0.145906,0.138751,0.141206,0.141206,655782652
0.141197,0.141197,0.135852,0.136868,0.136868,490138547
0.136838,0.141345,0.128246,0.12849,0.12849,913773124
0.128488,0.131696,0.125365,0.131553,0.131553,711967119
0.131561,0.135337,0.127846,0.127846,0.127846,587472906
0.127821,0.127851,0.109555,0.123813,0.123813,2046477370
0.123843,0.128181,0.120983,0.127576,0.127576,805161073
0.127568,0.130071,0.126199,0.127647,0.127647,535575654
0.127639,0.128235,0.122053,0.123111,0.123111,592809151
0.123118,0.134479,0.121954,0.133156,0.133156,765755924
0.133174,0.13773,0.130462,0.133938,0.133938,876604512
0.133964,0.136214,0.131232,0.13299,0.13299,709536320
0.132998,0.133649,0.12781,0.12961,0.12961,518193386
0.129631,0.129856,0.121544,0.122591,0.122591,650665594
0.122614,0.125375,0.121572,0.124996,0.124996,334091552
0.125025,0.125611,0.120384,0.120766,0.120766,400458464
0.120769,0.122563,0.115015,0.117105,0.117105,513014829
0.117106,0.119724,0.115838,0.117029,0.117029,491414294
0.117047,0.123734,0.116766,0.121588,0.121588,519157507
0.121572,0.121612,0.115532,0.116885,0.116885,513641345
0.116893,0.118293,0.11457,0.115602,0.115602,388727358
0.115608,0.117239,0.115132,0.115136,0.115136,235277001
0.11508,0.116231,0.110686,0.111608,0.111608,373430106
0.111607,0.118967,0.110817,0.114048,0.114048,822092169
0.114043,0.114213,0.110937,0.112784,0.112784,400614617
0.112779,0.116908,0.112364,0.116908,0.116908,537170937
0.116907,0.11871,0.116281,0.116502,0.116502,412838814
0.11649,0.119375,0.114568,0.119306,0.119306,410862503
0.119278,0.124573,0.11853,0.123569,0.123569,628081786
0.123579,0.123919,0.117991,0.119154,0.119154,428111799
0.119146,0.121332,0.118306,0.119339,0.119339,439486516
0.119333,0.12535,0.119014,0.122481,0.122481,610507111
0.122487,0.130713,0.121361,0.129727,0.129727,998922753
0.129722,0.140605,0.128455,0.13655,0.13655,2017926806
0.136603,0.137275,0.128782,0.131013,0.131013,882486375
0.13101,0.136495,0.129878,0.135868,0.135868,610401998
0.1359,0.144858,0.135703,0.144732,0.144732,1445019558
0.144725,0.152737,0.142457,0.142657,0.142657,1476875507
0.142557,0.148559,0.14129,0.14447,0.14447,961074557
0.144456,0.144997,0.13988,0.14321,0.14321,884305263
0.143184,0.14722,0.137172,0.137826,0.137826,1055136949
0.137922,0.142394,0.133209,0.141315,0.141315,877530017
0.14131,0.144069,0.138882,0.138913,0.138913,682408266
0.138903,0.148558,0.137088,0.146453,0.146453,1047399132
0.146413,0.155312,0.142008,0.148591,0.148591,2253509569
0.148614,0.178045,0.147727,0.172907,0.172907,5230288678
0.172485,0.173497,0.143291,0.143417,0.143417,3729047979
0.143432,0.148028,0.141312,0.146102,0.146102,1420790611
0.146106,0.152716,0.141608,0.142549,0.142549,1683800631
0.142544,0.144462,0.141416,0.144303,0.144303,523997409
0.144304,0.156972,0.143863,0.149535,0.149535,1931829669
0.149374,0.151292,0.133818,0.134654,0.134654,1515679359
0.134652,0.144122,0.134243,0.138076,0.138076,1214105682
0.13807,0.142608,0.137067,0.14008,0.14008,890728707
0.140053,0.146633,0.138101,0.14392,0.14392,1759067761
0.143917,0.149287,0.142767,0.146026,0.146026,1140382087
0.146017,0.147811,0.142093,0.143712,0.143712,584019179
0.143693,0.144709,0.138995,0.139459,0.139459,636442285
0.139471,0.140461,0.134384,0.140286,0.140286,909718484
0.140297,0.144141,0.1395,0.142665,0.142665,679511647
